3z 150 mg, pó para suspensão oral, 150 mg
3z 200 mg, pó para suspensão oral, 200 mg
3z 250 mg, pó para suspensão oral, 250 mg
3z 500 mg, pó para suspensão oral, 500 mg
AAS 150, 150 mg
Amoxicilina + Ácido Clavulânico Generis 50 mg/ml + 12.5 mg/ml Pó Suspensão Oral, 250 mg/5 ml + 62.5 mg/5 ml
Amoxicilina + Ácido Clavulânico Generis 80 mg/ml + 11.4mg/ml Pó Suspensão Oral, 400 mg/5 ml + 57 mg/5 ml
Amoxicilina + Ácido Clavulânico Generis Phar, 500 mg + 125 mg
Amoxicilina + Ácido Clavulânico Generis Phar, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Generis, 500 mg + 125 mg
Amoxicilina + Ácido Clavulânico Generis, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico GP 875 mg + 125 mg Comprimidos, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Hikma 1000 mg + 200 mg Pó para sol injectável, 1000 mg + 200 mg
Amoxicilina + Ácido Clavulânico Hikma 2000+200 mg Pó para Solução para Perfusão, 2000 mg + 200 mg
Amoxicilina + Ácido Clavulânico Jaba, 875 mg + 125 mg
Amoxicilina + Ácido clavulânico Krka, 500 mg + 125 mg
Amoxicilina + Ácido clavulânico Labesfal, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Mepha, 875 mg + 125 mg
Amoxicilina + Ácido clavulânico Mylan, 875 mg + 125 mg
Amoxicilina + Ácido clavulânico Pentafarma, 400 mg/5 ml + 57 mg/5 ml
Amoxicilina + Ácido clavulânico Pentafarma, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Pharmakern, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Ratiopharm 400mg/5ml + 57mg/5 ml pó p/ susp oral, 400 mg/5 ml + 57 mg/5 ml
Amoxicilina + Ácido clavulânico Ratiopharm 875 mg e 125mg comprimidos revestidos, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Sandoz 125 mg + 31,25 mg/5 ml Pó para susp. oral, 125 mg/5 ml + 31.25 mg/5 ml
Amoxicilina + Ácido Clavulânico Sandoz 250 mg + 62,5 mg/5 ml Pó para susp. oral, 250 mg/5 ml + 62.5 mg/5 ml
Amoxicilina + Ácido Clavulânico Sandoz 500 mg + 125 mg Comprimidos revestidos, 500 mg + 125 mg
Amoxicilina + Ácido Clavulânico Sandoz 875 mg + 125 mg Comprimidos revestidos, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico Sandoz, 400 mg/5 ml + 57 mg/5 ml
Amoxicilina + Ácido clavulânico toLife, 600 mg/5 ml + 42.9 mg/5 ml
Amoxicilina + Ácido clavulânico Tolife, 875 mg + 125 mg
Amoxicilina + Ácido Clavulânico-Ratiopharm 125 mg e 31,25mg/5 ml, Suspensão Oral, 125 mg/5 ml + 31.25 mg/5 ml
Amoxicilina + Ácido Clavulânico-Ratiopharm 250 mg e 62,5 mg/5 ml, Suspensão Oral, 250 mg/5 ml + 62.5 mg/5 ml
Amoxicilina + Ácido Clavulânico-Ratiopharm 500 mg e 125 mg Comprimido Revestido, 500 mg + 125 mg
Amoxicilina Cinfa, 500 mg
Amoxicilina Generis 500 mg Cápsulas, 500 mg
Amoxicilina Generis, 1000 mg
Amoxicilina Generis, 250 mg/5 ml
Amoxicilina Generis, 500 mg/5 ml
Amoxicilina Labesfal, 1000 mg
Amoxicilina Labesfal, 250 mg/5 ml
Amoxicilina Labesfal, 500 mg
Amoxicilina Labesfal, 500 mg/5 ml
Amoxicilina Sandoz 250 mg/5 ml Pó para suspensão oral, 250 mg/5 ml
Amoxicilina Sandoz 500 mg/5 ml Pó para suspensão oral, 500 mg/5 ml
Amoxicilina Sandoz, 1000 mg
Amoxicilina toLife, 1000 mg
Amoxicilina toLife, 500 mg
Amoxil, 1000 mg/20 ml
Amoxil, 1000 mg/5 ml
Amoxil, 500 mg/10 ml
Amoxil, 500 mg/5 ml
Amplamox, 1000 mg
Amplamox, 250 mg/5 ml
Amplamox, 500 mg
Amplamox, 500 mg/5 ml
Anacervix Forte, 600 mg + 15 mg
Anafranil, 10 mg
Anafranil, 25 mg
Anafranil, 25 mg/2 ml
Anafranil, 75 mg
Analgil, 150 mg/g
Ananase, 40 mg
Anandron, 50 mg
Anapen 0,15 mg/0,3 ml, 0.15 mg/0.3 ml
Anapen 0,3 mg/0,3 ml, 0.3 mg/0.3 ml
Anastrozol Accord, 1 mg
Anastrozol Azevedos, 1 mg
Anastrozol Farmoz, 1 mg
Anastrozol Generis, 1 mg
Anastrozol Germed, 1 mg
Anastrozol Mylan, 1 mg
Anastrozol PLS, 1 mg
Anastrozol Solufarma, 1 mg
Anastrozol Teva, 1 mg
Androcur Depot, 300 mg/3 ml
Androcur, 10 mg
Androcur, 100 mg
Androgel, 50 mg/5 g
Anestocil, 4 mg/ml
Anette, 0.015 mg/24 h + 0.12 mg/24 h
Angeliq, 2 mg + 1 mg
Anginova, 0.25 mg + 1.5 mg + 400 U
Aniflazime Forte, 10 mg
Anoro Ellipta, 55 µg + 22 µg
Anotrit, 20 mg/g
Ansilor, 1 mg
Ansilor, 2.5 mg
Ansiten 10, 10 mg
Ansiten 5, 5 mg
Antibiophilus, 1500 mg
Antibiophilus, 250 mg
Antibioxime, 1500 mg/15 ml
Antibioxime, 750 mg/6 ml
Antigrippine C, 500 mg + 25 mg + 200 mg
Antigrippine Trieffect Tosse, 500 mg + 10 mg + 200 mg
Antigrippine trieffect, 500 mg + 5 mg
Antistax, 360 mg
Anucet, Associação
Apidra, 100 U/ml
Apiredol, 100 mg/ml
Aplaket, 250 mg
Apocard, 10 mg/ml
Apocard, 100 mg
Apo-go Pen, 10 mg/ml
Apo-go, 5 mg/ml
Aprepitant Generis, 125 mg
Aprepitant Generis, 80 mg
Aprovel, 150 mg
Aprovel, 300 mg
Aprovel, 75 mg
Apton 40 mg, 40 mg
Apton, 20 mg
Aranka, 3 mg + 0.03 mg
Arankelle, 3 mg + 0.02 mg
Aratis Farbio, 100 mg
Aratis Farbio, 50 mg
Arava, 10 mg
Arava, 20 mg
Arcalion, 200 mg
Arcoxia, 120 mg
Arcoxia, 30 mg
Arcoxia, 60 mg
Arcoxia, 90 mg
Aricept, 10 mg
Aricept, 5 mg
Arimidex, 1 mg
Aripiprazol Altedron, 10 mg
Aripiprazol Altedron, 15 mg
Aripiprazol Altedron, 5 mg
Aripiprazol Alter, 10 mg
Aripiprazol Alter, 15 mg
Aripiprazol Alter, 5 mg
Aripiprazol Aurovitas, 1 mg/ml
Aripiprazol Aurovitas, 10 mg
Aripiprazol Aurovitas, 15 mg
Aripiprazol Aurovitas, 5 mg
Aripiprazol Biofarmoz, 1 mg/ml
Aripiprazol Biofarmoz, 10 mg
Aripiprazol Biofarmoz, 15 mg
Aripiprazol Ciclum, 1 mg/ml
Aripiprazol Ciclum, 10 mg
Aripiprazol Ciclum, 15 mg
Aripiprazol Cinfa, 10 mg
Aripiprazol Cinfa, 15 mg
Aripiprazol Cinfa, 5 mg
Aripiprazol Eignapharma, 10 mg
Aripiprazol Eignapharma, 15 mg
Aripiprazol Eignapharma, 20 mg
Aripiprazol Eignapharma, 30 mg
Aripiprazol Eignapharma, 5 mg
Aripiprazol Farmoz, 1 mg/ml
Aripiprazol Farmoz, 10 mg
Aripiprazol Farmoz, 15 mg
Aripiprazol Generis, 1 mg/ml
Aripiprazol Generis, 10 mg
Aripiprazol Generis, 15 mg
Aripiprazol Jaba, 1 mg/ml
Aripiprazol Jaba, 10 mg
Aripiprazol Jaba, 15 mg
Aripiprazol Krka, 1 mg/ml
Aripiprazol Krka, 10 mg
Aripiprazol Krka, 15 mg
Aripiprazol Limeg, 1 mg/ml
Aripiprazol Mylan Pharma, 1 mg/ml
Aripiprazol Mylan Pharma, 10 mg
Aripiprazol Mylan Pharma, 15 mg
Aripiprazol Pentafarma, 1 mg/ml
Aripiprazol Pentafarma, 10 mg
Aripiprazol Pentafarma, 15 mg
Aripiprazol Pharmakern, 1 mg/ml
Aripiprazol Pharmakern, 10 mg
Aripiprazol Pharmakern, 15 mg
Aripiprazol Ratiopharm, 10 mg
Aripiprazol Ratiopharm, 15 mg
Aripiprazol Sandoz, 1 mg/ml
Aripiprazol Sandoz, 10 mg
Aripiprazol Sandoz, 15 mg
Aripiprazol Tetrafarma, 1 mg/ml
Aripiprazol Tetrafarma, 10 mg
Aripiprazol Tetrafarma, 15 mg
Aripiprazol Teva, 1 mg/ml
Aripiprazol Teva, 10 mg
Aripiprazol Teva, 15 mg
Aripiprazol Tolife, 1 mg/ml
Aripiprazol Tolife, 10 mg
Aripiprazol Tolife, 15 mg
Aripsa, 0.5 mg
Arlevert, 20 mg + 40 mg
Arnica montana, 2 CH - 200 CH
Arnigel, 7 %
Aromasin, 25 mg
Artane, 2 mg
Artane, 5 mg
Artex, 5 mg
Arthrotec 75, 75 mg + 0.2 mg
Arthrotec, 50 mg + 0.2 mg
Artinibsa, 72 mg/1.8 ml + 0.009 mg/1.8 ml
Artinibsa, 72 mg/1.8 ml + 0.018 mg/1.8 ml
Artinostrum 1:100000, 72 mg/1.8 ml + 0.033 mg/1.8 ml
Artinostrum 1:200000, 72 mg/1.8 ml + 0.017 mg/1.8 ml
Artrimove, 23.2 mg/g
Artrolyt, 50 mg
Asacol, 20 mg/ml
Asacol, 40 mg/ml
Asacol, 400 mg
Asacol, 500 mg
Asacol, 800 mg
Aserin, 100 mg
Aserin, 50 mg
Asfor, 30 mg
Asfor, 6 mg
Asmanex Twisthaler, 200 µg/dose
Asmanex Twisthaler, 400 µg/dose
ASP, 100 mg
Asparten 5, 5000 mg/10 ml
Aspegic 100, 180 mg
Aspegic 1000, 1800 mg
Aspegic 500, 900 mg
Aspirina 500 mg Granulado, 500 mg
Aspirina C, 400 mg + 240 mg
Aspirina Complex, 500 mg + 30 mg
Aspirina GR 100mg Comprimidos Gastrorresistentes, 100 mg
Aspirina Microactive, 500 mg
Aspirina Xpress, 1000 mg
Aspirina, 500 mg
Assieme Turbohaler 320/9, 320 µg/dose + 9 µg/dose
Assieme Turbohaler, 160 µg/dose + 4.5 µg/dose
Assieme Turbohaler, 80 µg/dose + 4.5 µg/dose
Asutam, 10 mg + 10 mg
Asutam, 10 mg + 5 mg
Asutam, 20 mg + 10 mg
Asutam, 20 mg + 5 mg
Atacand 32 mg, 32 mg
Atacand, 16 mg
Atacand, 8 mg
Atarax, 2 mg/ml
Atarax, 25 mg
Atenolol Alter 100 mg comprimidos, 100 mg
Atenolol Alter 50 mg comprimidos, 50 mg
Atenolol Azevedos, 100 mg
Atenolol Azevedos, 50 mg
Atenolol Bluepharma, 100 mg
Atenolol Bluepharma, 50 mg
Atenolol Cinfa 100 mg Comprimidos, 100 mg
Atenolol Cinfa 50 mg Comprimidos, 50 mg
Atenolol Generis 100 mg Comprimidos Revestidos, 100 mg
Atenolol Generis 50 mg Comprimidos Revestidos, 50 mg
Atenolol Labesfal, 100 mg
Atenolol Labesfal, 50 mg
Atenolol Mylan, 100 mg
Atenolol Mylan, 50 mg
Atenolol Ratiopharm 100 mg Comprimidos Revestidos, 100 mg
Atenolol Ratiopharm 50 mg Comprimidos Revestidos, 50 mg
Atenolol Sandoz, 100 mg
Atenolol Sandoz, 50 mg
Atimos, 12 µg/dose
Atma, Associação
Atomoxetina Generis, 10 mg
Atomoxetina Generis, 18 mg
Atomoxetina Generis, 25 mg
Atomoxetina Generis, 40 mg
Atomoxetina Generis, 60 mg
Atomoxetina Generis, 80 mg
Atomoxetina Pentafarma, 10 mg
Atomoxetina Pentafarma, 18 mg
Atomoxetina Pentafarma, 25 mg
Atomoxetina Pentafarma, 40 mg
Atomoxetina Pentafarma, 60 mg
Atomoxetina Pentafarma, 80 mg
Atomoxetina ratiopharm, 10 mg
Atomoxetina ratiopharm, 18 mg
Atomoxetina ratiopharm, 25 mg
Atomoxetina ratiopharm, 40 mg
Atomoxetina ratiopharm, 60 mg
Atomoxetina ratiopharm, 80 mg
Atorvastatina Alter, 10 mg
Atorvastatina Alter, 20 mg
Atorvastatina Alter, 40 mg
Atorvastatina Alter, 80 mg
Atorvastatina Aristo, 10 mg
Atorvastatina Aristo, 20 mg
Atorvastatina Aristo, 40 mg
Atorvastatina Aristo, 80 mg
Atorvastatina Atorvan, 10 mg
Atorvastatina Atorvan, 20 mg
Atorvastatina Atorvan, 40 mg
Atorvastatina Atorvan, 80 mg
Atorvastatina Aurobindo, 10 mg
Atorvastatina Aurobindo, 20 mg
Atorvastatina Aurobindo, 40 mg
Atorvastatina Aurovitas, 10 mg
Atorvastatina Aurovitas, 20 mg
Atorvastatina Aurovitas, 40 mg
Atorvastatina Azevedos, 10 mg
Atorvastatina Azevedos, 20 mg
Atorvastatina Azevedos, 40 mg
Atorvastatina Azevedos, 80 mg
Atorvastatina Bluepharma, 10 mg
Atorvastatina Bluepharma, 20 mg
Atorvastatina Bluepharma, 40 mg
Atorvastatina Bluepharma, 80 mg
Atorvastatina Ciclum, 10 mg
Atorvastatina Ciclum, 20 mg
Atorvastatina Ciclum, 40 mg
Atorvastatina Cinfa, 10 mg
Atorvastatina Cinfa, 20 mg
Atorvastatina Cinfa, 40 mg
Atorvastatina Cinfa, 80 mg
Atorvastatina Farmoz, 10 mg
Atorvastatina Farmoz, 20 mg
Atorvastatina Farmoz, 40 mg
Atorvastatina Farmoz, 80 mg
Atorvastatina Generis Phar, 10 mg
Atorvastatina Generis Phar, 20 mg
Atorvastatina Generis Phar, 40 mg
Atorvastatina Krka, 10 mg
Atorvastatina Krka, 20 mg
Atorvastatina Krka, 40 mg
Atorvastatina Labesfal, 10 mg
Atorvastatina Labesfal, 20 mg
Atorvastatina Labesfal, 40 mg
Atorvastatina Limeg, 10 mg
Atorvastatina Limeg, 40 mg
Atorvastatina Limeg, 80 mg
Atorvastatina Mepha, 10 mg
Atorvastatina Mepha, 20 mg
Atorvastatina Mepha, 40 mg
Atorvastatina Mer, 10 mg
Atorvastatina Mer, 20 mg
Atorvastatina Mer, 40 mg
Atorvastatina Mylan, 10 mg
Atorvastatina Mylan, 20 mg
Atorvastatina Mylan, 40 mg
Atorvastatina Mylan, 80 mg
Atorvastatina Normalip, 10 mg
Atorvastatina Normalip, 20 mg
Atorvastatina Normalip, 40 mg
Atorvastatina Ocram, 10 mg
Atorvastatina Ocram, 20 mg
Atorvastatina Ocram, 40 mg
Atorvastatina Ocram, 80 mg
Atorvastatina Parke-Davis, 10 mg
Atorvastatina Parke-Davis, 20 mg
Atorvastatina Parke-Davis, 40 mg
Atorvastatina Pharmakern, 10 mg
Atorvastatina Pharmakern, 20 mg
Atorvastatina Pharmakern, 40 mg
Atorvastatina Ratiopharm, 10 mg
Atorvastatina Ratiopharm, 20 mg
Atorvastatina Ratiopharm, 40 mg
Atorvastatina Sandoz, 10 mg
Atorvastatina Sandoz, 20 mg
Atorvastatina Sandoz, 40 mg
Atorvastatina TAD, 10 mg
Atorvastatina TAD, 20 mg
Atorvastatina TAD, 40 mg
Atorvastatina Tavitan, 10 mg
Atorvastatina Tavitan, 20 mg
Atorvastatina Tavitan, 40 mg
Atorvastatina Tavitan, 80 mg
Atorvastatina Teclave, 10 mg
Atorvastatina Teclave, 20 mg
Atorvastatina Teclave, 40 mg
Atorvastatina Teclave, 80 mg
Atorvastatina Tecnigen, 10 mg
Atorvastatina Tecnigen, 20 mg
Atorvastatina Tecnigen, 40 mg
Atorvastatina Tecnigen, 80 mg
Atorvastatina Tetrafarma, 10 mg
Atorvastatina Tetrafarma, 20 mg
Atorvastatina Tetrafarma, 40 mg
Atorvastatina Tetrafarma, 80 mg
Atorvastatina Teva, 10 mg
Atorvastatina Teva, 20 mg
Atorvastatina Teva, 40 mg
Atorvastatina Teva, 80 mg
Atorvastatina Tolife, 10 mg
Atorvastatina Tolife, 20 mg
Atorvastatina Tolife, 40 mg
Atorvastatina Zentiva, 10 mg
Atorvastatina Zentiva, 20 mg
Atorvastatina Zentiva, 40 mg
Atorvastatina Zentiva, 80 mg
Atozet, 10 mg + 10 mg
Atozet, 20 mg + 10 mg
Atozet, 40 mg + 10 mg
Atozet, 80 mg + 10 mg
Atralidon, 500 mg
Atralxitina, 1000 mg/10 ml
Atropocil, 10 mg/ml
Atrovent PA, 20 µg/dose
Atrovent Unidose, 0.25 mg/2 ml
Audret, 1.5 mg/0.5 ml
Audret, 3 mg/ml
Augmentin Duo, 400 mg/5 ml + 57 mg/5 ml
Augmentin Duo, comprimidos 875/125 mg, 875 mg + 125 mg
Augmentin ES, 600 mg/5 ml + 42.9 mg/5 ml
Augmentin Forte, 250 mg/5 ml + 62.5 mg/5 ml
Augmentin, 125 mg/5 ml + 31.25 mg/5 ml
Augmentin, 500 mg + 125 mg
Aulin, 100 mg
Aurorix, 150 mg
Autritis, 10 mg/ml
Avamys, 27.5 µg/dose
Avaxim, 160 U/0.5 ml
Avelox, 400 mg
Avenoc, Associação
A-Vite, 50000 U.I.
Avodart, 0.5 mg
Avonex, 6 M.U.I./0.5 ml
Avonex, 6 M.U.I./3 ml
Axura, (5 mg)+(10 mg)+(15 mg)+(20 mg)
Axura, 10 mg
Axura, 20 mg
Axura, 5 mg/0.5 ml
Azactam, 1000 mg
Azafalk, 100 mg
Azafalk, 50 mg
Azafalk, 75 mg
Azalia, 0.075 mg
Azarga, 10 mg/ml + 5 mg/ml
Azatioprina medac, 25 mg
Azatioprina medac, 50 mg
Azep, 1 mg/ml
Azilect, 1 mg
Azitrix, 40 mg/ml
Azitromicina 3z 500 mg Comprimidos Revestidos, 500 mg
Azitromicina Almus, 500 mg
Azitromicina Alter 500 mg Comprimidos Revestidos, 500 mg
Azitromicina Anova, 500 mg
Azitromicina Atral, 500 mg
Azitromicina Aurovitas, 500 mg
Azitromicina Azevedos, 500 mg
Azitromicina Azimed 500 mg comprimidos revestidos, 500 mg
Azitromicina Azitrix 500 mg Comprimidos Revestidos, 500 mg
Azitromicina Baldacci 500 mg Comprimidos Revestidos, 500 mg
Azitromicina Baldacci, 40 mg/ml
Azitromicina Basi, 500 mg
Azitromicina Bluepharma, 500 mg
Azitromicina Ciclum 500 mg Comprimidos Revestidos, 500 mg
Azitromicina Cinfa 500 mg Comprimidos revestidos por película, 500 mg
Azitromicina Clintex, 40 mg/ml
Azitromicina Farmoz 500 mg Comprimidos Revestidos, 500 mg
Azitromicina Generis 500 mg Comprimidos Revestidos, 500 mg
Azitromicina Generis, 40 mg/ml
Azitromicina Germed, 500 mg
Azitromicina GP 500 mg Comprimidos revestidos, 500 mg
Azitromicina Jaba 500 mg Comprimidos Revestidos, 500 mg
Azitromicina Krka, 40 mg/ml
Azitromicina Krka, 500 mg
Azitromicina Labesfal 500 mg Comprimidos Revestidos, 500 mg
Azitromicina Mepha, 500 mg
Azitromicina Mylan, 40 mg/ml
Azitromicina Mylan, 500 mg
Azitromicina Pentafarma, 40 mg/ml
Azitromicina Pentafarma, 500 mg
Azitromicina Pharmakern 500 mg comprimidos revestidos, 500 mg
Azitromicina Ratiopharm, 500 mg
Azitromicina Sandoz, 500 mg
Azitromicina Teva 500 mg Comprimidos, 500 mg
Azitromicina Teva, 40 mg/ml
Azitromicina ToLife 500 mg Comprimidos Revestidos, 500 mg
Azitromicina Zentiva, 500 mg
Azitromicina Zitrozina 500 mg Comprimidos Revestidos, 500 mg
Azomyr, 0.5 mg/ml
Azomyr, 2.5 mg
Azomyr, 5 mg
Azopt, 10 mg/ml
Azyter, 3.75 mg/0.25 g
Azzalure, 125 U
Azzavix, 1000 mg
Azzavix, 500 mg
Baciderma, 250 U.I./g + 3500 U.I./g
Bacitracina Labesfal, 500 U.I./g
Bacitracina Zimaia, 500 U.I./g + 2000 U.I./g
Baclofeno Generis, 25 mg
Bactrim, 200 mg/5 ml + 40 mg/5 ml
Bactroban, 20 mg/g
Balfolic, 400 µg
Balpic, 1 mg/g
Bálsamo Analgésico Basi, 61.1 mg/g
Bálsamo Analgésico Labesfal, Associação
Bálsamo Analgésico Sanitas, Associação
Bálsamo Analgésico, 65 mg/g + 5 mg/g + 10 mg/g
Banhóleum, 800 mg/g
Basiflux, 0.8 mg/ml
Basiflux, 1.6 mg/ml
Basinal, 100 mg
Basocare, 1000 mg
Baxogar, 150 mg
Baycuten, 0.4 mg/g + 10 mg/g
Beacita, 120 mg
Beacita, 60 mg
Bebegel, 3830 mg/4.5 g
Beclotaide Forte, 250 µg/dose
Beclotaide, 50 µg/dose
Becozyme Forte, Associação
Becozyme, Associação
Bekunis Chá 0 Instantâneo, 308 - 513 mg/g
Bekunis Chá 0, 250 mg/g + 750 mg/g
Bekunis Laxante Bisacodil, 5 mg
Bekunis, 5 mg + 105 mg
Belara, 2 mg + 0.03 mg
Belkyra, 10 mg/ml
Belladonna, 0.01 ml/g
Belmural, 30 mg
Bemfola, 150 U.I./0.25 ml
Bemfola, 225 U.I./0.375 ml
Bemfola, 300 U.I./0.5 ml
Bemfola, 450 U.I./0.75 ml
Bemfola, 75 U.I./0.125 ml
Benaderma Com Calamina, 10 mg/g + 80 mg/g + 1 mg/g
Benaderma, 20 mg/g
Benadon, 300 mg
Bendalina, 1.5 mg/0.3 ml
Bendalina, 5 mg/ml
Bendalina, 500 mg
Benergina, 12.5 mg/g
Benestan OD, 10 mg
Benflux Forte, 6 mg/ml
Benflux Tosse Seca, 2 mg/ml
Benflux, 3 mg/ml
Benflux, 30 mg
Benfotiamina Tecnimede, 150 mg
Bentifen, 0.1 mg/0.4 ml
Bentifen, 0.25 mg/ml
Benudol, 40 mg/ml
Ben-u-ron Caff, 500 mg + 65 mg
Ben-u-ron direct, 500 mg
Ben-u-ron Odis, 250 mg
Ben-u-ron Odis, 500 mg
Ben-U-Ron, 1000 mg
Ben-U-Ron, 125 mg
Ben-U-Ron, 250 mg
Ben-U-Ron, 40 mg/ml
Ben-U-Ron, 500 mg
Ben-u-ron, 650 mg
Ben-u-ron, 75 mg
Benylin, 2.8 mg/ml + 0.4 mg/ml
Benzac 5, 50 mg/g
Benzac Wash 5, 50 mg/g
Bepanthene Plus, 50 mg/g + 5 mg/g
Bepanthene, 50 mg/g
Berodual PA, 0.021 mg/dose + 0.05 mg/dose
Bertocil, 5 mg/ml
Bescil, 10 mg/g
Besilato de Atracúrio Basi, 10 mg/ml
Betadine Alcoólica Dérmica, 50 mg/ml + 0.72 ml/ml
Betadine, 10 mg/ml
Betadine, 100 mg/g
Betadine, 100 mg/ml
Betadine, 40 mg/ml
Betaferon, 8 M.U.I./ml
Beta-histina Aristo16 mg Comprimidos, 16 mg
Beta-histina Aurobindo, 16 mg
Beta-histina Aurobindo, 24 mg
Beta-histina Aurovitas, 16 mg
Beta-histina Aurovitas, 24 mg
Beta-histina Bluefish, 16 mg
Beta-histina Bluefish, 24 mg
Beta-histina Bluepharma 16 mg Comprimidos, 16 mg
Beta-histina Ciclum 16 mg Comprimidos, 16 mg
Beta-histina Cinfa, 16 mg
Beta-histina Farmoz, 16 mg
Beta-histina Farmoz, 24 mg
Beta-histina Generis 16 mg Comprimidos, 16 mg
Beta-histina Generis 24 mg Comprimidos, 24 mg
Beta-histina GP 16 mg Comprimidos, 16 mg
Beta-histina Mylan, 16 mg
Beta-histina Pentafarma, 16 mg
Beta-histina Pentafarma, 24 mg
Beta-histina Pharmakern, 16 mg
Beta-histina Pharmakern, 24 mg
Beta-histina Premier, 16 mg
Beta-Histina ratiopharm, 16 mg
Beta-Histina ratiopharm, 24 mg
Beta-histina Sandoz 16 mg Comprimidos, 16 mg
Beta-histina Zentiva, 16 mg
Beta-histina Zentiva, 24 mg
Betametasona + Ácido fusídico Mylan, 1 mg/g + 20 mg/g
Betametasona + Calcipotriol Ratiopharm, 0.5 mg/g + 0.05 mg/g
Betametasona + Calcipotriol Teva, 0.5 mg/g + 0.05 mg/g
Betametasona Basi, 1 mg/g
Betametasona Cantabria, 1 mg/g
Betamox ES, 600 mg/5 ml + 42.9 mg/5 ml
Betamox Plus 400, 400 mg/5 ml + 57 mg/5 ml
Betamox Plus, 875 mg + 125 mg
Betamox, 1000 mg + 100 mg
Betamox, 1000 mg/20 ml + 200 mg/20 ml
Betamox, 125 mg/5 ml + 31.25 mg/5 ml
Betamox, 2000 mg + 200 mg
Betamox, 250 mg/5 ml + 62.5 mg/5 ml
Betamox, 500 mg + 125 mg
Betamox, 500 mg/10 ml + 50 mg/10 ml
Betaserc Odis, 24 mg
Betaserc, 16 mg
Betaserc, 24 mg
Betasporina, 1000 mg/10 ml
Betasporina, 1000 mg/3.5 ml
Betasporina, 500 mg/2 ml
Betmiga, 25 mg
Betmiga, 50 mg
Betnovate Capilar, 1 mg/g
Betnovate, 1 mg/g
Betoptic, 5 mg/ml
Betroa, 3 mg + 0.02 mg
Bexsero, Associação
Bezalip Retard, 400 mg
Bezalip, 200 mg
Bglau, 0.7 mg/0.35 ml
Bglau, 2 mg/ml
Biafine, 6.7 mg/g
Bialminal Forte, 200 mg
Bialminal, 100 mg
Bialzepam Retard, 10 mg
Bialzepam, 3 mg
Bialzepam, 6 mg
Bicalutamida Accord, 50 mg
Bicalutamida Aristo, 150 mg
Bicalutamida Aristo, 50 mg
Bicalutamida Aurovitas, 150 mg
Bicalutamida Aurovitas, 50 mg
Bicalutamida Fair-Med, 150 mg
Bicalutamida Fair-Med, 50 mg
Bicalutamida Farmoz, 150 mg
Bicalutamida Farmoz, 50 mg
Bicalutamida Ormandyl, 50 mg
Bicalutamida Pharmacare, 150 mg
Bicalutamida Pharmacare, 50 mg
Bicalutamida Sandoz, 150 mg
Bicalutamida Sandoz, 50 mg
Bicalutamida Stada, 50 mg
Bicalutamida Teva, 150 mg
Bicalutamida Teva, 50 mg
Bicarbonato de Sódio 8,4% - Labesfal, 84 mg/ml
Bicarbonato Sódio 1,4% - Labesfal, 14 mg/ml
Bidiam, 1200 mg + 800 U.I.
Bifonazol Farmoz, 10 mg/g
Bifonazol Farmoz, 10 mg/ml
Bilaxten, 10 mg
Bilaxten, 2.5 mg/ml
Bilaxten, 20 mg
Biloban, 40 mg
Biloban, 40 mg/ml
Biloban, 80 mg
Bimatoprost Mylan, 0.1 mg/ml
Binosto, 70 mg
Biofenac, 100 mg
Bioferro, 695 mg
Bioquil, 200 mg
Bioquil, 400 mg
BiResp Spiromax, 160 µg/dose + 4.5 µg/dose
BiResp Spiromax, 320 µg/dose + 9 µg/dose
Bisolgripal, 200 mg + 30 mg
Bisolix Expetorante, 8.25 mg/ml
Bisolspray Nebulicina Adulto, 0.5 mg/ml
Bisoltussin Tosse Seca, 2 mg/ml
Bisoltussin, 10.5 mg
Bisolvi Expetorante, 8.25 mg/ml
Bisolvon Efervescente, 600 mg
Bisolvon Linctus Adulto, 1.6 mg/ml
Bisolvon Linctus Criança, 0.8 mg/ml
Bisolvon, 2 mg/ml
Bisolvon, 8 mg
Bisoprolol Accord, 10 mg
Bisoprolol Accord, 5 mg
Bisoprolol Anova, 10 mg
Bisoprolol Anova, 5 mg
Bisoprolol Aurobindo, 10 mg
Bisoprolol Aurobindo, 2.5 mg
Bisoprolol Aurobindo, 5 mg
Bisoprolol Bluepharma, 10 mg
Bisoprolol Bluepharma, 5 mg
Bisoprolol Ciclum, 10 mg
Bisoprolol Ciclum, 5 mg
Bisoprolol Generis 10 mg Comprimidos, 10 mg
Bisoprolol Generis 5 mg Comprimidos, 5 mg
Bisoprolol Jaba 10 mg Comprimidos revestidos, 10 mg
Bisoprolol Jaba 5 mg Comprimidos revestidos, 5 mg
Bisoprolol Krka, 10 mg
Bisoprolol Krka, 2.5 mg
Bisoprolol Krka, 5 mg
Bisoprolol Labesfal, 10 mg
Bisoprolol Labesfal, 5 mg
Bisoprolol Limeg, 10 mg
Bisoprolol Limeg, 5 mg
